symbol,company,anex,acqName,date,pid,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,tdpTransactionType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
RELTD,Ravindra Energy Limited,7(2),Shantanu Lath,02-May-2026 16:46,1197873,0,0,0,0,Equity Shares,70000,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197873_1662973_02052026044642_WEB.xml,Director,50000,0.03,7000000,Equity Shares,120000,0.07,29-Apr-2026,29-Apr-2026,02-May-2026,ESOP,-,NA,-
MWL,Mangalam Worldwide Limited,7(2),VIPIN PRAKASH MANGAL,02-May-2026 14:20,1197871,0,0,0,0,Equity Shares,2212300,Pledge,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197871_1662943_02052026022032_WEB.xml,Promoters,6042800,20.35,682347220,Equity Shares,1530500,5.15,28-Apr-2026,29-Apr-2026,30-Apr-2026,Pledge Creation,-,NSE,-
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Dr. Lal PathLabs Employees Welfare Trust,01-May-2026 16:15,1197868,0,0,0,0,Equity Shares,82750,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197868_1662824_01052026041558_WEB.xml,Other,577246,0.34,94434300,Equity Shares,659996,0.39,30-Apr-2026,30-Apr-2026,01-May-2026,ESOP,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Bajaj Auto Holdings Limited,30-Apr-2026 22:26,1197866,0,0,0,0,Equity Shares,2090050,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197866_1662688_30042026102612_WEB.xml,Promoter Group,2090050,0.13,3700779428,Equity Shares,Nil,0,27-Apr-2026,27-Apr-2026,29-Apr-2026,Market Sale,-,BSE,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Bajaj Holdings & Investment Limited,30-Apr-2026 22:26,1197866,0,0,0,0,Equity Shares,2090050,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197866_1662688_30042026102612_WEB.xml,Promoters,612742140,38.28,3700224520,Equity Shares,614832190,38.41,27-Apr-2026,27-Apr-2026,29-Apr-2026,Market Purchase,-,BSE,-
HCLTECH,HCL Technologies Limited,7(2),Vama Sundari Investments (Delhi) Private Limited,30-Apr-2026 19:23,1197864,0,0,0,0,Equity Shares,183673,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197864_1662516_30042026072326_WEB.xml,Promoters,1199766406,44.21,220277165,Equity Shares,1199950079,44.22,28-Apr-2026,29-Apr-2026,30-Apr-2026,Market Sale,-,NSE,-
HCLTECH,HCL Technologies Limited,7(2),Vama Sundari Investments (Delhi) Private Limited,30-Apr-2026 19:23,1197864,0,0,0,0,Equity Shares,101056,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197864_1662516_30042026072326_WEB.xml,Promoters,1199665350,44.21,122655032,Equity Shares,1199766406,44.21,24-Apr-2026,24-Apr-2026,28-Apr-2026,Market Sale,-,NSE,-
HCLTECH,HCL Technologies Limited,7(2),Jill Ann Kouri,30-Apr-2026 18:31,1197862,0,0,0,0,Equity Shares,62540,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197862_1662394_30042026063149_WEB.xml,-,4149,0,79075576,Equity Shares,66689,0,24-Apr-2026,24-Apr-2026,28-Apr-2026,ESOP,-,NA,-
HCLTECH,HCL Technologies Limited,7(2),Siki Giunta,30-Apr-2026 18:31,1197862,0,0,0,0,Equity Shares,4204,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197862_1662394_30042026063149_WEB.xml,-,Nil,0,5315538,Equity Shares,4204,0,24-Apr-2026,24-Apr-2026,28-Apr-2026,ESOP,-,NA,-
HCLTECH,HCL Technologies Limited,7(2),Raghavan Kidambi,30-Apr-2026 18:31,1197862,0,0,0,0,Equity Shares,3651,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197862_1662394_30042026063149_WEB.xml,-,Nil,0,4616324,Equity Shares,3651,0,24-Apr-2026,24-Apr-2026,28-Apr-2026,ESOP,-,NA,-
