symbol,market_cap
1018GS2026,15322.5
20MICRONS,627.43
21STCENMGM,38.58
360ONE,42254.7
3BBLACKBIO,1025.46
3IINFOLTD,364.41
3MINDIA,37585.91
3PLAND,64.33
574GS2026,84159.0
591GS2028,51331.5
5PAISA,1610.41
601GS2030,98109.0
603GS2029,29261.0
610GS2031,149480.0
628GS2032,64488.6
636GS2031,38532.0
63MOONS,3437.46
654GS2032,155220.0
667GS2050,142914.59
668GS2040,170805.0
676GS2061,129452.7
679GS2031,64260.0
679GS2034,183540.0
690GS2065,180180.0
695GS2061,138841.5
699GS2051,143447.98
702GS2027,39227.4
702GS2031,65920.0
706GS2028,112887.0
709GS2054,142820.0
709GS2074,152312.0
710GS2029,153174.4
716GS2050,87120.0
717GS2030,105575.0
718GS2033,208718.4
718GS2037,178364.0
719GS2060,62720.0
723GS2039,117058.5
724GS2055,81340.0
725GS2063,235320.0
726GS2029,64260.0
732GS2030,76930.0
733GS2026,46096.6
734GS2064,231113.0
737GS2028,76440.0
738GS2027,147609.0
741GS2036,158925.0
743GS2076,38019.0
746GS2073,120393.0
74GS2035,84531.43
750GS2056,4925.5
754GS2036,159430.0
772GS2049,85240.0
795GS2032,103312.5
824GS2027,101207.98
832GS2032,97483.11
833GS2026,90000.0
86GS2028,91047.6
897GS2030,98640.0
A2ZINFRA,294.82
AAATECH,127.51
AADHARHFC,21393.05
AAKASH,83.43
AAREYDRUGS,255.19
AARNAV,98.63
AARON,289.08
AARTECH,154.05
AARTIDRUGS,3440.88
AARTIIND,18383.53
AARTIPHARM,6772.13
AARTISURF,346.22
AARTISURF,346.22
AARVI,185.13
AAVAS,10972.73
ABANSENT,304.11
ABB,153824.29
ABBOTINDIA,53994.48
ABCAPITAL,90604.56
ABCOTS,490.89
ABDL,14928.13
ABFRL,7799.06
ABGSEC,11.53
ABHAPOWER,57.9
ABINFRA,1006.09
ABLBL,12570.15
ABMINTLLTD,39.15
ABMKNO,453.95
ABREL,16630.37
ABSL10BANK,185.31
ABSLAMC,29372.19
ABSLBANETF,2511.68
ABSLLIQUID,31.67
ABSLMSCIN,10.07
ABSLNN50ET,101.39
ABSLPSE,22.25
ABSMARINE,551.88
ACC,26626.36
ACCELYA,1731.45
ACCENTMIC,1014.98
ACCORD,15.9
ACCPL,120.78
ACCURACY,76.48
ACE,10532.91
ACEINTEG,19.89
ACI,7469.23
ACL,520.77
ACMESOLAR,18263.99
ACSTECH,232.71
ACUTAAS,21221.81
ADANIENSOL,161566.51
ADANIENT,311410.86
ADANIGREEN,202767.38
ADANIPORTS,386028.35
ADANIPOWER,428274.5
ADDICTIVE,145.1
ADFFOODS,2900.4
ADISOFT,351.24
ADL,40.36
ADOR,1881.24
ADROITINFO,54.18
ADSL,644.82
ADVAIT,2215.41
ADVANCE,716.79
ADVANIHOTR,502.59
ADVENTHTL,821.28
ADVENZYMES,3873.79
AEGISLOG,24675.3
AEGISVOPAK,21051.84
AEPL,473.71
AEQUS,12642.05
AEROENTER,1052.82
AEROFLEX,4022.86
AERONEU,230.87
AESTHETIK,132.6
AETHER,15581.92
AFCONS,12427.44
AFFLE,20007.17
AFFORDABLE,199.06
AFIL,385.36
AFSL,1020.94
AGARIND,623.74
AGARWALEYE,14104.62
AGARWALFT,28.87
AGARWALTUF,215.1
AGI,4096.31
AGIIL,4928.02
AGRITECH,64.75
AGROPHOS,65.14
AHCL,703.73
AHLADA,60.33
AHLEAST,278.92
AHLUCONT,5988.69
AHLWEST,421.46
AIAENG,36870.88
AIIL,40508.06
AIMTRON,2457.23
AIRAN,205.66
AIROLAM,126.17
AISL,66.56
AJANTPHARM,35356.78
AJAXENGG,5954.3
AJMERA,2410.75
AJOONI,72.86
AKANKSHA,181.12
AKASH,44.85
AKCAPIT,1114.08
AKG,35.91
AKI,53.56
AKIKO,249.85
AKSHAR,37.8
AKSHARCHEM,160.04
AKSHOPTFBR,93.71
AKUMS,8642.5
ALANKIT,248.65
ALBERTDAVD,408.06
ALCODIS,85.08
ALEMBICLTD,2370.1
ALGOQUANT,1526.35
ALICON,1147.66
ALIVUS,12582.93
ALKALI,68.22
ALKEM,64917.82
ALKYLAMINE,7728.38
ALLCARGO,1442.36
ALLDIGI,1269.28
ALLETEC,343.3
ALLTIME,1545.98
ALMONDZ,285.65
ALOKINDS,6861.96
ALPA,140.55
ALPEXSOLAR,2784.19
ALPHA,788.22
ALPHAETF,406.58
ALPHAGEO,138.75
ALPL30IETF,1502.64
ALUWIND,136.91
AMAGI,8859.08
AMANTA,510.61
AMBALALSA,241.78
AMBER,28223.72
AMBEY,82.7
AMBICAAGAR,40.93
AMBIKCO,854.8
AMBUJACEM,109736.6
AMCL,579.9
AMDIND,84.33
AMEYA,81.75
AMIRCHAND,1392.77
AMJLAND,165.23
AMNPLST,907.77
AMRUTANJAN,1648.63
ANANDRATHI,29741.31
ANANTAM,2301.37
ANANTRAJ,17490.02
ANDHRAPAP,1324.14
ANDHRSUGAR,1328.25
ANGELONE,28145.55
ANIKINDS,126.25
ANKITMETAL,22.72
ANLON,335.29
ANMOL,67.73
ANNAPURNA,344.76
ANONDITA,1808.66
ANSALAPI,59.5
ANTELOPUS,2412.14
ANTGRAPHIC,13.49
ANTHEM,42690.25
ANUHPHR,812.72
ANUP,4096.43
ANURAS,15283.0
ANZEN,3285.99
AONEGOLD,83.54
AONELIQUID,253.87
AONENIFTY,21.84
AONESILVER,24.2
AONETMMQ50,7.29
AONETOTAL,42.03
APARINDS,49611.89
APCL,339.87
APCOTEXIND,2060.32
APEX,1459.38
APEXECO,159.54
APLAPOLLO,52949.46
APLLTD,14801.2
APOLLO,10647.31
APOLLOHOSP,109995.26
APOLLOPIPE,1982.61
APOLLOTYRE,25975.63
APOLSINHOT,301.39
APRAMEYA,423.93
APS,747.94
APSISAERO,288.4
APTECHT,599.81
APTUS,12994.27
AQYLON,1253.43
ARCHIDPLY,167.1
ARCHIES,49.83
ARCIIL,75.48
ARENTERP,12.28
ARFIN,1602.53
ARHAM,314.86
ARIES,479.86
ARIHANT,931.79
ARIHANTACA,290.65
ARIHANTCAP,769.48
ARIHANTSUP,1206.67
ARIS,1120.21
ARISTO,81.69
ARKADE,2183.4
ARMANFIN,1563.27
AROGRANITE,41.31
ARROWGREEN,804.19
ARSHIYA,34.78
ARSSBL,3757.24
ARTEMISMED,3871.54
ARTNIRMAN,111.1
ARUNAYA,34.2
ARVEE,185.14
ARVIND,10415.13
ARVINDFASN,5959.91
ARVINDPORT,63.72
ARVSMART,2834.58
ASAHIINDIA,21336.13
ASAHISONG,290.56
ASAL,812.26
ASALCBR,1770.99
ASCOM,304.92
ASHAPURMIN,6027.7
ASHIANA,3446.49
ASHIKA,1771.11
ASHIMASYN,306.66
ASHOKA,3758.88
ASHOKAMET,40.87
ASHOKLEY,95479.51
ASHWINI,223.5
ASIANENE,1435.51
ASIANHOTNR,1265.78
ASIANPAINT,235003.46
ASIANTILES,1947.84
ASKAUTOLTD,8693.99
ASMS,238.18
ASPINWALL,179.2
ASTAR,996.58
ASTEC,1548.62
ASTERDM,36631.16
ASTRAL,41221.68
ASTRAMICRO,10728.79
ASTRAZEN,20625.0
ASTRON,20.6
ATALREAL,323.37
ATAM,78.52
ATCENERGY,67.89
ATGL,69826.94
ATHERENERG,35732.11
ATL,638.47
ATLANTAA,330.32
ATLANTAELE,13726.05
ATLASCYCLE,66.14
ATLPP,36.69
ATMASTCO,356.8
ATUL,20094.0
ATULAUTO,1362.59
AUBANK,75834.94
AURIGROW,50.19
AURIONPRO,4821.03
AUROPHARMA,80475.87
AURUM,1401.85
AUSL,59.61
AUSOMENT,200.54
AUTOAXLES,2777.58
AUTOBEES,430.12
AUTOIETF,185.67
AUTOIND,293.13
AVADHSUGAR,983.5
AVAILFC,153.67
AVALON,7097.24
AVANA,313.64
AVANTEL,3945.81
AVANTIFEED,18786.91
AVG,247.16
AVIANSH,153.75
AVL,6728.09
AVONMORE,347.09
AVPINFRA,246.79
AVROIND,167.05
AVTNPL,1062.18
AWFIS,2511.07
AWHCL,1450.33
AWL,25473.7
AXISBANK,396497.58
AXISBNKETF,345.7
AXISCADES,8584.26
AXISCETF,13.51
AXISGOLD,5305.72
AXISHCETF,22.03
AXISILVER,1991.36
AXISNIFTY,1265.61
AXISTECETF,153.7
AXISVALUE,36.41
AXITA,311.01
AXSENSEX,127.04
AYE,3247.68
AYMSYNTEX,1342.26
AZAD,14072.36
BABAFP,46.53
BAFNAPH,316.99
BAGDIGITAL,244.02
BAGFILMS,103.22
BAHETI,625.77
BAIDFIN,176.57
BAJAJ-AUTO,280587.88
BAJAJCON,5879.13
BAJAJELEC,4578.13
BAJAJFINSV,278767.79
BAJAJHCARE,1013.82
BAJAJHFL,72616.3
BAJAJHIND,4857.83
BAJAJHLDNG,113975.68
BAJAJINDEF,952.64
BAJAJST,948.38
BAJEL,2178.57
BAJFINANCE,585052.93
BALAJEE,260.78
BALAJIPHOS,252.04
BALAJITELE,1189.77
BALAMINES,4332.01
BALAXI,147.13
BALKRISHNA,58.03
BALKRISIND,41775.84
BALMLAWRIE,3226.67
BALPHARMA,121.08
BALRAMCHIN,10562.01
BALUFORGE,6398.63
BANARBEADS,76.12
BANARISUG,4653.61
BANCOINDIA,8779.63
BANDHANBNK,32380.67
BANG,52.61
BANK10ADD,205.78
BANKA,89.77
BANKADD,606.07
BANKBARODA,136575.68
BANKBEES,7944.18
BANKBETA,3402.79
BANKBETF,389.2
BANKETF,297.27
BANKIETF,2865.31
BANKINDIA,63710.03
BANKNIFTY1,4772.85
BANKPSU,55.7
BANSALWIRE,4679.46
BANSWRAS,406.51
BARFLEX,147.26
BASF,15790.6
BASILIC,598.78
BASML,195.89
BATAINDIA,9248.84
BATLIBOI,387.66
BAYERCROP,24041.46
BBETF0432,10486.03
BBL,3528.83
BBNPNBETF,4.36
BBNPPGOLD,338.18
BBOX,11400.52
BBTC,10455.32
BBTCL,391.81
BCG,1917.03
BCLIND,1060.82
BCONCEPTS,299.57
BCPL,142.07
BDL,50292.38
BEACON,186.97
BEARDSELL,102.38
BECTORFOOD,6007.81
BEDMUTHA,357.19
BEEKAY,829.63
BEL,315636.25
BELLACASA,344.06
BELRISE,18996.25
BEML,14949.54
BENGALASM,7020.92
BEPL,2389.04
BERGEPAINT,54918.73
BESTAGRO,634.15
BETA,1338.07
BEWLTD,110.86
BFINVEST,1578.09
BFSI,432.49
BFUTILITIE,2090.55
BGRENERGY,2026.8
BHADORA,124.62
BHAGCHEM,3399.92
BHAGERIA,752.86
BHAGYANGR,862.27
BHANDARI,136.54
BHARATCOAL,15568.35
BHARATFORG,90358.75
BHARATGEAR,164.22
BHARATRAS,2307.0
BHARATSE,1180.64
BHARATWIRE,1509.55
BHARTIARTL,1152238.31
BHARTIHEXA,75850.0
BHEL,122707.91
BI,142.45
BIGBLOC,680.13
BIKAJI,16924.71
BIKEWO,32.15
BIL,1032.53
BIMETAL,230.65
BIOCON,58133.86
BIOFILCHEM,55.31
BIOPOL,125.45
BIRET,27032.54
BIRLACABLE,466.92
BIRLACORPN,7069.09
BIRLAMONEY,830.69
BIRLANU,1022.62
BIRLAPREC,232.52
BLACKBUCK,9967.92
BLACKROSE,435.8
BLAL,796.12
BLBLIMITED,89.87
BLIL,1615.96
BLISSGVS,2925.07
BLKASHYAP,1288.62
BLS,11425.81
BLSE,1789.87
BLUECHIP,10.62
BLUECOAST,53.45
BLUEDART,12941.69
BLUEJET,7691.46
