company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
20 Microns Limited,44.99,0.0,0.0
21st Century Management Services Limited,64.09,0.0,0.0
360 ONE WAM LIMITED,15.71,24783627.0,43.25
3M India Limited,75.0,0.0,0.0
3P Land Holdings Limited,73.3,0.0,0.0
63 moons technologies limited,45.63,0.0,0.0
A2Z Infra Engineering Limited,28.14,49402301.0,99.68
ABB India Limited,75.0,0.0,0.0
ACC Limited,56.69,0.0,0.0
ADF Foods Limited,36.17,2376190.0,5.98
AGS Transact Technologies Limited,65.83,7155000.0,8.95
AIA Engineering Limited,58.5,0.0,0.0
AION-TECH SOLUTIONS LIMITED,53.89,0.0,0.0
AJR INFRA AND TOLLING LIMITED,10.72,100999800.0,100.0
AMD Industries Limited,66.69,0.0,0.0
ANDHRA PAPER LIMITED,72.45,0.0,0.0
APL Apollo Tubes Limited,28.32,0.0,0.0
ARSS Infrastructure Projects Limited,46.7,2646648.0,24.92
ATLANTAA LIMITED,74.67,0.0,0.0
ATN International Limited,0.17,0.0,0.0
AU Small Finance Bank Limited,22.92,0.0,0.0
AVT Natural Products Limited,75.0,0.0,0.0
AXISCADES Technologies Limited,60.27,5204000.0,20.58
Aarti Drugs Limited,55.64,0.0,0.0
Aarti Industries Limited,42.61,5947500.0,3.85
Aarvee Denims & Exports Limited,60.81,7872515.0,55.18
Aban Offshore Limited,46.0,5200000.0,19.37
Abans Holdings Limited,72.09,5132000.0,14.2
Abhishek Corporation Limited,57.63,8164316.0,88.5
Accelya Solutions India Limited,74.66,0.0,0.0
Accuracy Shipping Limited,63.69,0.0,0.0
Action Construction Equipment Limited,65.48,0.0,0.0
Adani Energy Solutions Limited,69.94,4134321.0,0.49
Adani Enterprises Limited,74.89,5600000.0,0.66
Adani Green Energy Limited,60.94,0.0,0.0
Adani Ports and Special Economic Zone Limited,65.89,408000.0,0.03
Adani Power Limited,74.96,42275000.0,1.46
Aditya Birla Capital Limited,68.98,0.0,0.0
Aditya Birla Fashion and Retail Limited,52.42,0.0,0.0
Aditya Birla Money Limited,73.53,0.0,0.0
Aditya Birla Real Estate Limited,51.33,0.0,0.0
Ador Welding Limited,56.94,0.0,0.0
Advanced Enzyme Technologies Limited,42.95,0.0,0.0
Advani Hotels & Resorts (India) Limited,50.25,0.0,0.0
Aegis Logistics Limited,58.1,0.0,0.0
Agarwal Industrial Corporation Limited,57.2,0.0,0.0
Agri-Tech (India) Limited,31.1,0.0,0.0
Agro Phos India Limited,54.27,0.0,0.0
Agro Tech Foods Limited,51.77,0.0,0.0
Ahlada Engineers Limited,49.3,0.0,0.0
Ahluwalia Contracts (India) Limited,55.32,0.0,0.0
Airo Lam limited,53.02,1500200.0,18.86
Ajanta Pharma Limited,66.26,9243644.0,11.17
Ajmera Realty & Infra India Limited,74.2,1950000.0,7.41
Akg Exim Limited,54.32,0.0,0.0
Aksh Optifibre Limited,25.24,0.0,0.0
Akzo Nobel India Limited,74.76,0.0,0.0
Alankit Limited,54.15,0.0,0.0
Alchemist Limited,34.94,,
Alembic Limited,70.88,0.0,0.0
Alembic Pharmaceuticals Limited,69.61,0.0,0.0
Alicon Castalloy Limited,54.18,0.0,0.0
Alkali Metals Limited,69.59,2130000.0,30.06
Alkyl Amines Chemicals Limited,71.96,0.0,0.0
Allcargo Gati Limited,46.9,276100.0,0.4
Allcargo Logistics Limited,63.66,0.0,0.0
Alldigi Tech Limited,73.39,0.0,0.0
Allied Digital Services Limited,52.09,0.0,0.0
Almondz Global Securities Limited,56.36,0.0,0.0
Alok Industries Limited,75.0,0.0,0.0
Alpa Laboratories Limited,57.29,0.0,0.0
Alphageo (India) Limited,46.08,280534.0,9.57
Alps Industries Limited,22.21,4019018.0,46.27
Amara Raja Energy & Mobility Limited,32.86,0.0,0.0
Ambica Agarbathies & Aroma industries Limited,43.41,2000.0,0.03
Ambika Cotton Mills Limited,50.17,0.0,0.0
Ambuja Cements Limited,67.59,0.0,0.0
Amit Spinning Industries Limited,50.96,8233934.0,39.24
Amj Land Holdings Limited,65.9,0.0,0.0
Amrutanjan Health Care Limited,50.66,0.0,0.0
Anand Rathi Wealth Limited,47.99,2250.0,0.01
Anant Raj Limited,60.0,0.0,0.0
Andhra Cements Limited,90.0,21890883.0,26.39
Anik Industries Limited,37.81,0.0,0.0
Ankit Metal & Power Limited,71.02,100215000.0,100.0
Anmol India Limited,57.08,10936900.0,33.66
Ansal Properties & Infrastructure Limited,48.77,55564816.0,72.38
Antarctica Limited,11.05,0.0,0.0
Antony Waste Handling Cell Limited,46.14,45000.0,0.34
Anupam Rasayan India Limited,61.23,9250000.0,13.75
Apar Industries Limited,57.77,0.0,0.0
Apcotex Industries Limited,58.23,0.0,0.0
Apollo Hospitals Enterprise Limited,29.33,5900000.0,13.99
Apollo Micro Systems Limited,55.12,29485000.0,17.45
Apollo Pipes Limited,46.31,0.0,0.0
Apollo Sindoori Hotels Limited,64.68,0.0,0.0
Apollo Tyres Limited,37.36,2745960.0,1.16
Aptech Limited,47.36,,
Archean Chemical Industries Limited,53.45,3002000.0,4.55
Archidply Industries Limited,69.89,0.0,0.0
Archies Limited,62.25,0.0,0.0
Arcotech Limited,39.96,19154794.0,45.65
Aries Agro Limited,52.66,0.0,0.0
Arihant Capital Markets Limited,69.81,0.0,0.0
Arihant Superstructures Limited,74.71,0.0,0.0
Aro Granite Industries Limited,41.08,0.0,0.0
Arshiya Limited,14.37,37871225.0,100.0
Artemis Medicare Services Limited,67.17,41159625.0,44.53
Arvind Fashions Limited,35.2,3900000.0,8.31
Arvind Limited,39.59,7500000.0,7.24
Arvind SmartSpaces Limited,50.17,0.0,0.0
Asahi India Glass Limited,54.23,0.0,0.0
Asahi Songwon Colors Limited,66.77,0.0,0.0
Ashapura Intimates Fashion Limited,14.76,1924631.0,51.73
Ashapura Minechem Limited,47.7,6740174.0,14.79
Ashiana Housing Limited,61.11,0.0,0.0
Ashima Limited,73.49,0.0,0.0
Ashok Leyland Limited,51.91,408660000.0,26.81
Ashoka Buildcon Limited,54.48,0.0,0.0
Asian Granito India Limited,29.02,0.0,0.0
Asian Hotels (East) Limited,65.63,0.0,0.0
Asian Hotels (North) Limited,3.17,31500.0,5.11
Asian Paints Limited,52.68,36080427.0,7.14
Astec LifeSciences Limited,66.75,0.0,0.0
Aster DM Healthcare Limited,42.2,206834332.0,98.13
Astra Microwave Products Limited,6.54,0.0,0.0
AstraZeneca Pharma India Limited,75.0,0.0,0.0
Astral Limited,54.1,0.0,0.0
Astron Paper & Board Mill Limited,27.06,0.0,0.0
Atcom Technologies Limited,14.1,1371500.0,63.39
Atlas Cycles (Haryana) Limited,41.92,0.0,0.0
Atul Limited,45.17,130000.0,0.98
Aurionpro Solutions Limited,26.88,0.0,0.0
Aurobindo Pharma Limited,51.82,61360000.0,20.39
Aurum PropTech Limited,49.95,0.0,0.0
Ausom Enterprise Limited,73.7,0.0,0.0
Autoline Industries Limited,33.39,0.0,0.0
Automotive Axles Limited,71.04,0.0,0.0
Automotive Stampings and Assemblies Limited,75.0,0.0,0.0
Avadh Sugar & Energy Limited,60.39,2879682.0,23.82
Avanti Feeds Limited,43.23,0.0,0.0
Axis Bank Limited,12.46,0.0,0.0
Axita Cotton Limited,62.77,13.0,0.0
Azad Engineering Limited,65.9,297300.0,0.76
B. L. Kashyap and Sons Limited,61.65,138233158.0,99.46
B.A.G Films and Media Limited,46.86,0.0,0.0
BASF India Limited,73.33,0.0,0.0
BEML Limited,54.03,0.0,0.0
BF Investment Limited,74.13,0.0,0.0
BF Utilities Limited,56.74,0.0,0.0
BGR Energy Systems Limited,51.01,21648468.0,58.82
BIRLASOFT LIMITED,40.87,0.0,0.0
BLB Limited,36.84,0.0,0.0
BSL Limited,56.71,0.0,0.0
Bafna Pharmaceuticals Limited,88.3,0.0,0.0
