symbol,basic_industry,industry,macro,sector
AIMTRON,Industrial Products,Industrial Manufacturing,Industrials,Capital Goods
AWL,Edible Oil,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods
BHARATFORG,Auto Components & Equipments,Auto Components,Consumer Discretionary,Automobile and Auto Components
BOHRAIND,Fertilizers,Fertilizers & Agrochemicals,Commodities,Chemicals
CAPACITE,Civil Construction,Construction,Industrials,Construction
DAMCAPITAL,Stockbroking & Allied,Capital Markets,Financial Services,Financial Services
DHAMPURSUG,Sugar,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods
EMBDL,Residential Commercial Projects,Realty,Consumer Discretionary,Realty
ESCORTS,Tractors,Agricultural Commercial & Construction Vehicles,Industrials,Capital Goods
FINPIPE,Plastic Products - Industrial,Industrial Products,Industrials,Capital Goods
FIRSTCRY,E-Retail/ E-Commerce,Retailing,Consumer Discretionary,Consumer Services
FIVESTAR,Non Banking Financial Company (NBFC),Finance,Financial Services,Financial Services
FLAIR,Stationary,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods
FLFL,Diversified Retail,Retailing,Consumer Discretionary,Consumer Services
GAYAPROJ,Civil Construction,Construction,Industrials,Construction
GEECEE,Residential Commercial Projects,Realty,Consumer Discretionary,Realty
GEEKAYWIRE,Other Electrical Equipment,Electrical Equipment,Industrials,Capital Goods
GENCON,Residential Commercial Projects,Realty,Consumer Discretionary,Realty
GENESYS,IT Enabled Services,IT - Services,Information Technology,Information Technology
GENSOL,Other Electrical Equipment,Electrical Equipment,Industrials,Capital Goods
HAVELLS,Consumer Electronics,Consumer Durables,Consumer Discretionary,Consumer Durables
HAVISHA,Hotels & Resorts,Leisure Services,Consumer Discretionary,Consumer Services
HBLENGINE,Auto Components & Equipments,Auto Components,Consumer Discretionary,Automobile and Auto Components
HBSL,Non Banking Financial Company (NBFC),Finance,Financial Services,Financial Services
HOVS,IT Enabled Services,IT - Services,Information Technology,Information Technology
HYUNDAI,Passenger Cars & Utility Vehicles,Automobiles,Consumer Discretionary,Automobile and Auto Components
ICEMAKE,Industrial Products,Industrial Manufacturing,Industrials,Capital Goods
ICICIBANK,Private Sector Bank,Banks,Financial Services,Financial Services
IKIO,Consumer Electronics,Consumer Durables,Consumer Discretionary,Consumer Durables
ITCHOTELS,Hotels & Resorts,Leisure Services,Consumer Discretionary,Consumer Services
JSWINFRA,Port & Port services,Transport Infrastructure,Services,Services
KALANA,Iron & Steel Products,Industrial Products,Industrials,Capital Goods
LAL,Garments & Apparels,Textiles & Apparels,Consumer Discretionary,Textiles
NATCOPHARM,Pharmaceuticals,Pharmaceuticals & Biotechnology,Healthcare,Healthcare
NELCO,Computers Hardware & Equipments,IT - Hardware,Information Technology,Information Technology
